customer_id,name,email,phone,city,state,country,signup_date,age,membership
585,Bob Wilson,john@email.com,+1-555-123-4567,Houston,WA,USA,2023-01-14,,Silver
733,John Smith,,INVALID,San Francisco,TX,USA,1716229800.0,49.0,Free
2742,Jane Doe,,(555) 123-4567,New York,Unknown,USA,08/10/2024,,Free
1122,Jane Doe,john@email.com,,New York,CA,USA,2023-10-08,37.0,Unknown
1965,Bob Wilson,john@email.com,N/A,Chicago,TX,USA,2024-11-29,,Unknown
1561,John Smith,,555.123.4567,Unknown,NY,USA,2023-01-10,,Free
1255,Jane Doe,bob@company.com,555.123.4567,Los Angeles,Unknown,USA,2024-07-31,,Free
1279,Sarah Miller,,555.123.4567,Unknown,NY,USA,2023-08-30,,Gold
1449,Michael Lee,alice@gmail.com,555.123.4567,New York,NY,USA,10-Aug-2024,,Free
608,Charlie Davis,,,New York,TX,USA,1726165800.0,,Free
2557,Emma Johnson,,+1-555-123-4567,New York,NY,USA,05/17/2024,,Silver
1668,Unknown,john@email.com,N/A,Seattle,NY,Unknown,,,Unknown
934,James Taylor,,000-000-0000,Los Angeles,WA,USA,1675449000.0,75.0,Bronze
869,Lisa Anderson,bob@company.com,N/A,Chicago,NY,Unknown,1728585000.0,,Silver
2663,James Taylor,john@email.com,555-123-4567,Houston,CA,USA,,,Unknown
1595,John Smith,alice@gmail.com,,Los Angeles,WA,USA,04-Sep-2023,,Silver
2854,Lisa Anderson,,N/A,Unknown,CA,USA,05/14/2023,44.0,Gold
1753,Jane Doe,john@email.com,,Unknown,NY,USA,1700159400.0,63.0,Free
380,Sarah Miller,,N/A,Chicago,NY,USA,28-Sep-2023,,Premium
1116,Unknown,bob@company.com,,New York,WA,Unknown,03/31/2024,22.0,Free
1080,Jane Doe,,(555) 123-4567,New York,Unknown,USA,2024-09-26,,Unknown
400,Unknown,,555.123.4567,Seattle,CA,USA,08-Sep-2023,,Free
2857,John Smith,jane@test.com,INVALID,Chicago,IL,Unknown,INVALID_DATE,,Gold
1124,Jane Doe,john@email.com,000-000-0000,Seattle,Unknown,USA,2024-01-07,66.0,Bronze
1478,John Smith,alice@gmail.com,5551234567,Unknown,NY,USA,2024-10-05,32.0,Gold
1300,Unknown,,555-123-4567,Los Angeles,Unknown,USA,07/04/2024,78.0,Gold
2877,Jane Doe,,555.123.4567,Seattle,NY,Unknown,,19.0,Premium
2989,Bob Wilson,,5551234567,Unknown,WA,USA,,46.0,Premium
11,Jane Doe,jane@test.com,(555) 123-4567,Los Angeles,CA,USA,17-Apr-2023,,Unknown
2255,Michael Lee,,INVALID,Los Angeles,IL,USA,2024-07-04,,Silver
622,Lisa Anderson,,5551234567,Houston,Unknown,USA,1723833000.0,,Bronze
2881,Emma Johnson,,555.123.4567,New York,Unknown,USA,2023-06-30,79.0,Free
305,Unknown,,555.123.4567,San Francisco,IL,USA,1722709800.0,,Silver
1101,Unknown,jane@test.com,555.123.4567,New York,Unknown,USA,05-Nov-2023,,Bronze
1839,Unknown,,INVALID,Los Angeles,NY,USA,06/13/2023,,Free
436,John Smith,alice@gmail.com,000-000-0000,New York,TX,USA,09/14/2023,56.0,Gold
83,Bob Wilson,john@email.com,,New York,WA,USA,2024-04-03,,Gold
218,John Smith,,5551234567,New York,TX,USA,2023-05-19,63.0,Premium
2546,Bob Wilson,,(555) 123-4567,Los Angeles,TX,USA,09/21/2024,42.0,Free
1819,Unknown,,INVALID,Chicago,TX,Unknown,2024-12-31,54.0,Premium
2443,John Smith,alice@gmail.com,555.123.4567,Chicago,Unknown,USA,14-May-2023,,Unknown
936,Jane Doe,jane@test.com,000-000-0000,New York,NY,USA,28-Oct-2023,49.0,Unknown
2287,Emma Johnson,alice@gmail.com,(555) 123-4567,New York,WA,USA,1698604200.0,26.0,Unknown
2829,Unknown,john@email.com,INVALID,Chicago,Unknown,USA,,,Bronze
1140,Jane Doe,jane@test.com,+1-555-123-4567,New York,CA,Unknown,27-Aug-2023,,Bronze
1777,Unknown,alice@gmail.com,+1-555-123-4567,Houston,CA,USA,23-Sep-2023,,Bronze
1129,Lisa Anderson,john@email.com,+1-555-123-4567,Houston,NY,USA,2023-09-19,69.0,Bronze
116,Michael Lee,,,New York,NY,USA,2023-02-12,,Silver
1687,Emma Johnson,,,Unknown,TX,USA,INVALID_DATE,56.0,Unknown
564,John Smith,,+1-555-123-4567,Los Angeles,WA,Unknown,2023-10-10,34.0,Silver
293,Jane Doe,jane@test.com,5551234567,Chicago,IL,USA,08-Nov-2024,,Gold
1406,Charlie Davis,,555-123-4567,Houston,Unknown,USA,,,Silver
2520,Charlie Davis,,+1-555-123-4567,New York,IL,Unknown,09/03/2023,,Bronze
1296,James Taylor,john@email.com,000-000-0000,New York,CA,USA,2023-01-12,,Unknown
537,Jane Doe,jane@test.com,555.123.4567,Seattle,IL,USA,1717439400.0,59.0,Unknown
323,Emma Johnson,,+1-555-123-4567,Chicago,Unknown,USA,05/17/2024,34.0,Free
2737,Unknown,,5551234567,San Francisco,Unknown,USA,1716057000.0,,Gold
1401,Charlie Davis,,,Unknown,NY,USA,13-May-2023,,Free
1393,Charlie Davis,jane@test.com,555.123.4567,Unknown,WA,USA,08/17/2023,30.0,Free
2294,Emma Johnson,alice@gmail.com,5551234567,Unknown,CA,Unknown,2024-03-19,,Premium
1855,Charlie Davis,jane@test.com,555.123.4567,New York,CA,USA,,,Bronze
1995,Jane Doe,,555.123.4567,San Francisco,TX,USA,,,Premium
1625,John Smith,bob@company.com,,New York,NY,USA,16-Jul-2023,,Bronze
1017,Jane Doe,,(555) 123-4567,Los Angeles,TX,USA,17-Nov-2023,,Silver
150,Michael Lee,,5551234567,Los Angeles,NY,Unknown,08-Feb-2024,74.0,Gold
435,Unknown,,INVALID,Los Angeles,NY,USA,2023-05-08,,Bronze
2896,Bob Wilson,,,San Francisco,WA,USA,1716057000.0,,Silver
2963,Jane Doe,,N/A,Chicago,TX,USA,1694025000.0,32.0,Free
1767,John Smith,,000-000-0000,New York,Unknown,USA,10-Jan-2023,,Silver
513,Jane Doe,,+1-555-123-4567,Los Angeles,WA,Unknown,,36.0,Silver
129,John Smith,,555.123.4567,Chicago,CA,Unknown,2024-08-05,,Free
801,Unknown,,5551234567,Los Angeles,CA,USA,2023-11-02,,Bronze
717,Alice Brown,,555-123-4567,Houston,Unknown,USA,03/25/2024,,Free
2824,Unknown,john@email.com,000-000-0000,New York,IL,USA,18-Nov-2024,,Gold
1365,John Smith,,000-000-0000,Chicago,TX,Unknown,1725561000.0,,Free
2943,James Taylor,bob@company.com,+1-555-123-4567,Seattle,CA,USA,2024-08-13,80.0,Silver
2405,Charlie Davis,,000-000-0000,Houston,IL,USA,10/02/2023,56.0,Free
1742,Lisa Anderson,jane@test.com,INVALID,New York,IL,USA,30-Apr-2023,24.0,Bronze
1363,Michael Lee,john@email.com,555.123.4567,Unknown,NY,USA,1723055400.0,,Gold
2101,Jane Doe,john@email.com,INVALID,New York,WA,Unknown,07-Nov-2024,,Free
1460,Michael Lee,,,Chicago,Unknown,USA,12-Nov-2023,,Free
1286,John Smith,john@email.com,+1-555-123-4567,Chicago,NY,USA,1688754600.0,44.0,Bronze
2804,Jane Doe,,,New York,Unknown,Unknown,2023-11-08,,Gold
2023,Jane Doe,,INVALID,Seattle,CA,USA,10/03/2023,60.0,Silver
2006,Bob Wilson,john@email.com,+1-555-123-4567,Unknown,IL,USA,,31.0,Free
1870,Sarah Miller,,000-000-0000,New York,WA,USA,,,Free
1774,Jane Doe,,(555) 123-4567,Chicago,IL,USA,2024-05-08,40.0,Silver
858,Michael Lee,,N/A,New York,NY,Unknown,1711564200.0,,Bronze
531,John Smith,,555.123.4567,Los Angeles,IL,USA,2024-04-24,43.0,Gold
2465,James Taylor,,000-000-0000,Unknown,NY,USA,1680114600.0,,Silver
566,Charlie Davis,,555-123-4567,Unknown,CA,USA,19-Oct-2024,,Free
790,John Smith,alice@gmail.com,,Los Angeles,Unknown,USA,,,Free
746,John Smith,john@email.com,,New York,TX,USA,2023-04-21,,Premium
1385,Jane Doe,,+1-555-123-4567,Chicago,WA,USA,1722623400.0,29.0,Unknown
2687,Unknown,john@email.com,5551234567,New York,IL,USA,2023-08-24,53.0,Gold
676,Lisa Anderson,,555.123.4567,New York,CA,USA,,37.0,Silver
2821,John Smith,,5551234567,Los Angeles,WA,USA,2024-06-11,,Free
102,Jane Doe,alice@gmail.com,,Chicago,CA,Unknown,30-Dec-2024,20.0,Bronze
2393,Lisa Anderson,,INVALID,Chicago,TX,USA,1710009000.0,,Unknown
1732,Michael Lee,,,Unknown,CA,USA,,,Gold
1377,John Smith,alice@gmail.com,N/A,New York,CA,USA,2024-07-23,,Premium
2241,Jane Doe,,(555) 123-4567,Los Angeles,IL,USA,2024-06-20,,Free
486,Unknown,,,San Francisco,TX,USA,2023-06-28,,Bronze
1648,Charlie Davis,bob@company.com,(555) 123-4567,Chicago,IL,USA,05/06/2023,26.0,Premium
1550,Alice Brown,,INVALID,Chicago,CA,Unknown,05-Aug-2023,,Unknown
857,Lisa Anderson,,(555) 123-4567,Unknown,NY,USA,,59.0,Free
1436,Unknown,,,Chicago,CA,USA,02/06/2024,,Free
833,Unknown,,555-123-4567,Chicago,NY,USA,01/06/2023,,Free
670,Bob Wilson,,N/A,Unknown,CA,USA,2024-12-19,,Gold
657,David Garcia,,5551234567,Chicago,IL,USA,2024-04-16,,Free
1189,Bob Wilson,,555.123.4567,New York,TX,USA,1707676200.0,,Unknown
448,Emma Johnson,,,Houston,CA,USA,04/05/2023,,Free
14,Alice Brown,,,Chicago,NY,Unknown,02/11/2023,,Premium
1067,Sarah Miller,,N/A,Chicago,CA,USA,,79.0,Silver
327,Unknown,bob@company.com,N/A,Los Angeles,CA,USA,2024-06-14,,Silver
783,Unknown,,5551234567,Chicago,WA,USA,2023-01-29,,Free
1262,Unknown,john@email.com,N/A,Chicago,IL,USA,08/02/2023,,Bronze
1688,John Smith,,555-123-4567,Los Angeles,TX,USA,09-Apr-2024,,Silver
2569,John Smith,,(555) 123-4567,Chicago,IL,USA,2024-10-15,,Unknown
2191,Jane Doe,jane@test.com,,Unknown,TX,Unknown,2024-12-10,,Silver
2347,James Taylor,,,Unknown,NY,USA,2024-04-18,77.0,Premium
2617,Emma Johnson,,,New York,TX,USA,,,Unknown
1828,Sarah Miller,,555-123-4567,Unknown,NY,Unknown,01/25/2024,,Silver
440,Unknown,jane@test.com,,New York,TX,Unknown,2023-10-08,,Free
1311,Jane Doe,,(555) 123-4567,San Francisco,IL,USA,03-Mar-2023,33.0,Unknown
