order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,status,payment_method,shipping_address
1,2131,229,2023-10-31,,,,Cancelled,Credit Card,
2,1093,315,2024-10-24,,,,Cancelled,Crypto,
3,1167,364,2023-02-04,,,,Shipped,PayPal,
4,2854,37,2023-08-14,,,,Shipped,PayPal,UNKNOWN
5,2180,83,2023-01-06,4.0,,,Unknown,PayPal,"456 Oak Ave, Los Angeles"
6,1678,95,2024-05-21,,,,Unknown,Debit Card,
7,1580,110,2023-09-03,,,,Processing,Debit Card,
8,2613,409,2024-06-03,,,,Processing,Crypto,UNKNOWN
9,1291,446,2023-04-16,,,,Processing,Cash,"456 Oak Ave, Los Angeles"
10,1362,245,2023-01-25,5.0,,,Cancelled,Cash,"123 Main St, New York"
11,1155,199,2024-01-01,,389.51,,Pending,PayPal,
12,2856,411,2024-08-25,,,,Returned,PayPal,"123 Main St, New York"
13,2416,151,2023-06-08,,382.55,,Processing,Credit Card,UNKNOWN
14,1200,494,2024-11-16,,,,Cancelled,Debit Card,UNKNOWN
15,2185,457,,,78.99,,Cancelled,,"789 Pine Rd, Chicago"
16,2783,416,2023-10-29,2.0,,,Shipped,PayPal,
17,1518,106,,,,,Cancelled,Cash,"123 Main St, New York"
18,2845,181,2023-09-13,,,,Unknown,Debit Card,"123 Main St, New York"
19,847,413,2023-05-23,5.0,,,Cancelled,PayPal,UNKNOWN
20,1999,377,2024-07-07,,486.44,,Cancelled,Credit Card,"123 Main St, New York"
21,754,53,,,,,Unknown,Crypto,
22,2747,80,2023-04-18,,,,Shipped,Debit Card,"456 Oak Ave, Los Angeles"
23,1653,27,,,299.64,,Cancelled,PayPal,
24,6,492,2023-11-29,7.0,,,Cancelled,Cash,"123 Main St, New York"
25,2623,457,2023-03-16,,,,Cancelled,Cash,"456 Oak Ave, Los Angeles"
26,2999,138,,,,,Delivered,PayPal,
27,84,138,2023-10-14,,,,Unknown,Debit Card,
28,156,43,,1.0,,,Processing,,"123 Main St, New York"
29,2781,437,,,,,Unknown,Crypto,
30,398,437,2024-11-01,5.0,,,Shipped,Crypto,"123 Main St, New York"
31,924,294,2023-02-09,,,,Cancelled,Crypto,UNKNOWN
32,69,481,2024-08-11,,,,Cancelled,Debit Card,"123 Main St, New York"
33,1835,445,2024-06-13,,,,Shipped,PayPal,UNKNOWN
34,2283,487,,,,,Pending,Crypto,
35,2444,158,2024-03-12,,419.05,,Returned,,"789 Pine Rd, Chicago"
